density,radius,drag_coeff,mass,height,alpha,velocity,distance
0.5826618755042964,0.09945659191057754,0.7438057715039645,0.2677507106875838,0.7179520964552204,0.30435713048263136,0.753309584246803,172.31887672035643
0.8073651312136522,0.14239133693950656,0.14706845094145105,0.35454306004192493,0.7881790024189929,0.41787917680219866,0.4689447251885127,101.60558282958904
0.8490362943494901,0.977179410194461,0.354433507427797,0.6196014588075127,0.5228101128463268,0.06754109759287286,0.6320194720749259,66.34396758533434
0.39549897867324146,0.4891344925306388,0.6471900009003381,0.6022413963433196,0.7439804459151768,0.9683802434634269,0.0346438086469355,0.5289298591772906
0.4304843418878871,0.40109271263992285,0.818754770145195,0.1697044071921251,0.9880411374483589,0.4139436939018508,0.8692741693093546,143.06093090560702
0.3113482277851217,0.48457092786886347,0.5034621783127544,0.13325238228481096,0.49206688290643785,0.4622837540132838,0.14267692765567053,20.83984050405559
0.12278531570472961,0.7805462329970515,0.40576168194398043,0.8791648140454392,0.710184075660804,0.39644838958793915,0.45764327195138343,86.91927459615104
0.17615547061301218,0.44186322639678777,0.3078712235465797,0.9287632835007572,0.6605675770164742,0.5813117603526186,0.01890096468931557,4.439648970258892
0.26257038590941606,0.9146307477648205,0.05237172833026438,0.3020879246418924,0.7229112786650654,0.10180213476509414,0.10423565814429869,21.465740647865005
0.497807473365805,0.8080102655722198,0.7471630381700368,0.933108866425302,0.6175913401032855,0.3123549360059741,0.3155878289016567,49.37585280403318
0.9378410678270032,0.5538040737301033,0.813097088254737,0.46005930742699064,0.0956603388343995,0.22543103494854821,0.5328329542763364,47.7726927002532
0.8518603434329998,0.6179828056521459,0.3597730899832686,0.9980357130365174,0.5700409304059173,0.339628638281104,0.1255706823563777,21.476149052271868
0.3546212629523161,0.1992859298348627,0.4920786258700809,0.425385332933074,0.3571847943541322,0.9180155628936469,0.11350041230197427,2.885532845051072
0.9452926183599956,0.7920708379820383,0.5540345969848799,0.5797212662043634,0.6014837638939052,0.5151830247300483,0.5349557202177948,55.899285086545056
0.7813061379494848,0.07631615979520379,0.646780192835243,0.9057877343228233,0.062367207776344524,0.6855334750122744,0.15926722118867997,9.263629170177765
0.11094697091366468,0.5130171054651386,0.08604114529107465,0.999392550169297,0.0237340737061138,0.261165995326577,0.5743140900039904,66.79268444929826
0.5063302502213124,0.9858982975420206,0.44520536856603654,0.5540840390773231,0.3178974875051218,0.7326142779726166,0.8748304452167024,55.33652270467603
0.3577071773430074,0.561149858336122,0.34283999582472846,0.3273858848858635,0.5722918612094946,0.47279655427564793,0.8098848175035289,132.14539321414668
0.6267947073458943,0.6801991993178711,0.4684257313445944,0.8089939420586109,0.9241182842644403,0.9576885071010318,0.1878542693728803,3.2308631292041325
0.49427976239275173,0.14098427790371382,0.34351696222794526,0.771902428590873,0.6858866393447248,0.7981255119919187,0.8277883812383833,109.63752409981143
0.6771533372724794,0.6867981207872126,0.10106198310401093,0.7685716750727316,0.7137816154401986,0.8962926445094123,0.8173188842745779,39.07882320568222
0.3374948096475745,0.759130142218661,0.26957246520875056,0.3933816501549555,0.9745122529844443,0.529720390497448,0.44546989425943906,71.65331033389178
0.6673904368265405,0.6142208244256268,0.5562187827963055,0.8287163199652574,0.7457460994519999,0.293246318750207,0.20779035731570816,38.020745716380844
0.3466979932953119,0.2807025180064492,0.47670798998949926,0.20277565231123484,0.5691600889584664,0.8582801003995314,0.7860339741379767,59.892037259288465
0.22070187156129184,0.6493083410489945,0.7378349851844186,0.0437216798365081,0.6758143962349089,0.3185782457467543,0.9679455869766691,121.72828920624754
0.5314868487276551,0.45776162274027443,0.5197968346409219,0.9702882270068798,0.6673129647161302,0.13401667377533055,0.9485337912620201,168.7823305096502
0.04356750759099959,0.9330851867414975,0.6941588370087971,0.2667430911284605,0.5756180604427792,0.6805756256768835,0.984400497620584,93.69146821539867
0.6603969258730212,0.8040366921053814,0.5694228400046613,0.6532025806099658,0.6615753564509634,0.38156803349310753,0.3385973977160871,48.740252924746656
0.6841465505461469,0.8524498911578188,0.3400489633755862,0.7378958854033993,0.11293223781898576,0.2224235147737934,0.7680272328310489,75.36087222751287
0.07815070469482199,0.6835253658756512,0.3543357966625722,0.798446248210396,0.5859682367827591,0.7861459587640974,0.6014292029191285,62.15414187513695
0.49174524267305064,0.3930188174269452,0.8601928626068002,0.885591459084907,0.40347554920769646,0.24057884418284148,0.742237137733134,124.17805632191188
0.28077327794448326,0.7592447861350566,0.958981330182014,0.025355910819662375,0.25640365382899655,0.23286347420692766,0.5813261624967129,55.90502566835655
0.48509901736954675,0.8038252641012295,0.39584367060401926,0.6365174017374682,0.38743428912496547,0.17691398264069025,0.3226483602127289,44.989276718805584
0.31794277969719853,0.30221672551701906,0.06775321710378235,0.07007875058533197,0.5424375874994894,0.3138366092376328,0.2071080398478412,37.04068337170333
0.36910760028710243,0.9420595275404035,0.30712763909265095,0.3285796605881842,0.4424573161250742,0.333547114440473,0.7583143035418928,91.94697906133848
0.032092084366844076,0.15033888569369702,0.7266474103054581,0.46521386189569347,0.534976924686939,0.9865443845697202,0.04350789599061522,0.2402049345418673
0.41592866494481673,0.8165384109160132,0.682305870581575,0.631023782179363,0.4253573342217274,0.6091755511948583,0.6937402547440482,71.7049771084313
0.7558530960506158,0.23038073367644363,0.33305085339421536,0.6336196306943784,0.09742917700264997,0.36761594744580073,0.3562971456720424,41.5544089807063
0.34953333695445343,0.11125208904303285,0.7310745508414109,0.6922273585911997,0.4782243081464025,0.9285953057435874,0.5103286025933264,18.681679243629326
0.4206983522284885,0.9606801579415643,0.9835727243359895,0.08257568500808987,0.960765594846994,0.7029977764825737,0.5701151903941458,30.49621027277145
0.4577764791060399,0.1542635866816674,0.17239555826975028,0.4074551514466649,0.6464950234558746,0.7707708473826993,0.7714391166941517,108.03019299884411
0.2715894969228074,0.9643096044229952,0.8393246839287931,0.2726291481122117,0.41476765394230475,0.2625039720767486,0.8695500747452606,81.6969494250053
0.49291063486765274,0.03275664211821061,0.442662223091571,0.4533041945141528,0.8016517229457267,0.05272810092997804,0.04538294936481213,12.975040504603
0.6629855832083694,0.5884053791404399,0.49765059192401284,0.5912582678187752,0.0424523758349139,0.3936279761496283,0.04264011727008976,3.054254558509765
0.6743718163225365,0.93711672951858,0.6322003709287503,0.2651132761750804,0.24969775890466328,0.24536423501972038,0.8674111672470635,62.92140887752896
0.6323851169361987,0.38240779970936445,0.20336037335997403,0.14179986878438566,0.4826557243264099,0.7433674121731182,0.059285980439324204,5.21008859732154
0.5489494484971871,0.09741080627267018,0.4288961303063067,0.928960527601137,0.1573913123750228,0.7828942917003099,0.928293953034708,128.22311407766645
0.5363198393611619,0.2481806505375468,0.2658147207021757,0.9352809529320233,0.39394373953376416,0.19657860726124565,0.009475027801552405,4.010726229528787
0.8654209453682723,0.7610402152255481,0.5293381617116882,0.11781980429865135,0.668172577514591,0.49969597643715935,0.022655883261961107,4.417312951642177
0.5958680209536217,0.12224382599247419,0.2564293306691986,0.89175845848521,0.6435389110733044,0.15420462375608612,0.2697863953171439,54.17589610990796
0.7590247002198832,0.2669144013235081,0.4426181217960439,0.40647320267756337,0.7897667858664597,0.0902007139136326,0.7108504363250673,133.67643362535398
0.9070092562642915,0.1753379032569129,0.12977339182941716,0.05549860700379716,0.8341038094403593,0.16252925260882511,0.08786734651006523,20.970421004867372
0.7801191892339046,0.658072247425334,0.7861492756406043,0.41408665269848377,0.30439901754641396,0.7387035738489457,0.5821587888611617,38.24389372691354
0.4530840885430024,0.6030134640738416,0.35852320170710006,0.6616620319540477,0.343897267062807,0.8675710602783776,0.3496020069251099,16.538881453083512
0.5023660707316508,0.13974831105568508,0.8655621135700864,0.2515359810625357,0.9529302162547452,0.9892969523054663,0.7727986442778444,5.145769536511189
0.45258433684064125,0.6973003635740015,0.9351553743645481,0.6560470419910271,0.3970638775803891,0.6438422680100523,0.5051886872420966,50.94608236004451
