input_1,input_2,input_3,input_4,input_5,input_6,solution
0.1956541902885932,0.44513358853150875,0.7665225899745985,0.2469249565194862,0.8834925752530591,0.0558365010357087,2.391811615328705
0.3638499061270202,0.02953799903052734,0.4970753356891211,0.399450983979845,0.9876537947398286,0.5496965117629261,2.6083427098268253
0.032419077615350234,0.04615282148584354,0.6058277225774141,0.4314163314409979,0.5224523441448399,0.8206790175183005,2.296766037249623
0.8698421751686032,0.49552723770692453,0.06299038662352263,0.5540137503388008,0.12207717470395996,0.5345434554773032,2.4599986851886166
0.6982711348818647,0.7648491579605221,0.8907124526070812,0.0625217589315451,0.811969859968929,0.526500938592327,3.403478824154088
0.23100273898667445,0.3440023911087372,0.9508665403653649,0.9163350871133485,0.24378330226999367,0.6349510796044555,3.0080205917973397
0.34698317848317395,0.8963279474949389,0.7840196453419157,0.6695050481396008,0.0007431476678367854,0.8375135362195625,3.191555033120868
0.8878004718311433,0.5522289992988612,0.7148192524813762,0.606743850413301,0.5958547206623224,0.2001333005555559,3.2859644787674056
0.08149342696431194,0.14168910399152335,0.852119136061235,0.21376922046890645,0.5214096884276322,0.09567519102827671,1.781073175032316
0.3070556104254719,0.8732140805832537,0.03409253975694715,0.2350495627788538,0.29784769716918624,0.7239536716626225,2.291443162749223
0.04494254304655043,0.2045669316726021,0.536422269094211,0.6812906156393232,0.7765122432631227,0.12571210764845153,2.2151075666099365
0.777073292113325,0.24393046040124433,0.8980125896793917,0.7512688594643168,0.03958400526626704,0.9397037534393401,3.2543279617078187
0.41895665825840356,0.19486579603885024,0.598229316525294,0.8687476530788308,0.45407235284900604,0.35372905502441054,2.7121706556896963
0.32669909293444643,0.7376615369703549,0.31454466494195965,0.018073101236763423,0.13582897130468308,0.9307309414452271,2.2584016863037197
0.9682340805625804,0.34507859108070016,0.46218832176475344,0.6593511337784296,0.24448690555398522,0.4811277218385266,2.9255064938948565
0.006836115120698261,0.5908867006044644,0.38047765514820675,0.9290522873835726,0.4046851106880668,0.1857615216258075,2.3147750089255097
0.379635131057142,0.5594372087462364,0.9341571957879764,0.1613047658404443,0.17800811031881025,0.8529683841124308,2.7963010680469376
0.40817835583937867,0.08904450151825338,0.239738723978958,0.6420407972376546,0.3362689893820914,0.5512149011431668,2.1758347465969625
0.02150847085821328,0.8278000689043384,0.8162966500098017,0.5744322242528265,0.39968888720855755,0.1441025549683589,2.5626603809527815
0.6690502491819782,0.44717149105553833,0.6061691527510319,0.5879840411054165,0.5996921919079262,0.04453148589213651,2.785971386788059
0.8572946946153105,0.7076650091743674,0.644599121687334,0.5596603302180926,0.4902771042219607,0.67377177203778,3.6327207334536507
0.05042269600047278,0.7237223005539325,0.9676569201035504,0.9332983290743553,0.19679226598245614,0.10905701268707169,2.644091700604516
0.5231842307145603,0.34541995561025396,0.7183181781510486,0.7058654426121475,0.10898907326996421,0.9604370347689483,3.0732604289197076
0.8229912376456369,0.10414624004350259,0.34094232207107655,0.7049692786080899,0.8535619442570783,0.10498803983664273,2.677948800188127
0.36228261982702303,0.6107782563496545,0.9526076112924324,0.39485637743161484,0.10288044277112596,0.9535461146994831,3.0456921080412886
0.5864553411190708,0.5716445363879827,0.5276326551122125,0.5059102374603855,0.835883754397133,0.07992073931862553,2.904246273709436
0.9962213862316143,0.04722743349861647,0.6167616186994209,0.823862281313024,0.9521284154222143,0.40288795077585693,3.4055334558365664
0.9485773238282964,0.6766695275394066,0.2630771739691067,0.8016391707947587,0.3319827663495779,0.45728576179299696,3.184769766141901
0.7951152414372111,0.24325363014472712,0.017549411339635168,0.4386022990250531,0.8577317880382792,0.2428485425227107,2.39385833094979
0.020159438413357433,0.3259342965863353,0.9260018232619397,0.7507287417588624,0.11341984719823639,0.9217957907090867,2.7316122846529245
0.03118408839655018,0.32289133125572755,0.3327304377927136,0.9856932729073413,0.6447027577506669,0.78060570801636,2.813439714608039
0.3410081632033829,0.07587357917591553,0.5591300182001672,0.4836752967238419,0.8842340190420299,0.9054924472831613,2.9658820040301745
0.39194502839320045,0.8617487391060681,0.3350571048855895,0.35191708014239076,0.2424837063569768,0.6882764750488538,2.6898115292537454
0.7898336330190293,0.7680665484852235,0.04162751380780305,0.5803538365963141,0.5982491597216988,0.6861149668966228,3.191650072424874
0.4061415852125988,0.8351718298276021,0.7595490230039821,0.7472887352201423,0.351166191445622,0.2526568426174477,3.0986969050867423
0.5998224535913067,0.190123813100603,0.22755627112587506,0.33874287159555283,0.011800974543221043,0.21900073885312477,1.5404305799322588
0.4826718254122917,0.33898949523156907,0.24197015012376877,0.7833924851327577,0.5051467963525289,0.28920120157159224,2.511107258477578
0.7180129822902932,0.23697513067563303,0.06690230797713947,0.14167070935957704,0.4898558454848406,0.741790435769088,2.2468102878238088
0.9958328681488916,0.4190418810338211,0.1868399603947336,0.8860055300765436,0.9168111834956095,0.5578284111677699,3.5294145509329677
0.2996901584286261,0.556511420677774,0.8252882472347259,0.1449372083892707,0.9902713753208148,0.7079287027790788,3.1890615148445463
0.8427796450326479,0.4065077876216008,0.08820758767415748,0.5569149911519132,0.6199450275694354,0.6335077041382907,2.9315286743621014
0.9338533718529939,0.1483637595563594,0.03776250382427049,0.18478210901561842,0.1991166914392326,0.07004106484651351,1.4410109758496705
0.45289336656314594,0.008330109969579946,0.7938002069912726,0.40132087309029096,0.7649090627466367,0.6109077288822501,2.8156391858000545
0.557892189534306,0.6874008334002171,0.3345811046237712,0.40185201349564525,0.5912702546970005,0.7193311890068484,3.0997244150210994
0.7028563097919404,0.04039624782415829,0.5936948361673633,0.9185962306580915,0.054042228351116606,0.9046511676683652,2.8811883220557784
